Column1;Column2
SelectKBest_20;['ABCA10', 'ADAMTS5', 'ANXA1', 'ARHGAP20', 'CAVIN2', 'JAM2', 'LDB2', 'LIFR', 'MAGI2-AS3', 'MIR99AHG', 'PAMR1', 'PDE2A', 'PLPP3', 'RBMS3', 'SCN4B', 'SPRY2', 'STARD9', 'TMEM220', 'TSLP', 'VEGFD']
FeatureSelection_20;['AC005077.4', 'AC100771.2', 'AC124067.4', 'ADAMTS5', 'AGR3', 'AR', 'CDK1', 'CHST3', 'CXXC5', 'ERGIC1', 'FAM171A1', 'FOXM1', 'FSIP1', 'KCNJ11', 'KCNK15', 'LRRN4CL', 'PAMR1', 'RGMA', 'SMIM14', 'STOX2']
RFE_20;['CAVIN2', 'CD300LG', 'CENPA', 'CEP55', 'FAM171A1', 'FOXA1', 'FOXC1','FOXM1', 'GATA3', 'LINC02188', 'NCAPG', 'PLK1', 'PSAT1', 'RGMA','SFRP1', 'SKA1', 'TLE3', 'TMEM220', 'TPX2', 'UBE2T']      
SelectKBest_25;['ABCA10', 'AC100771.2', 'ADAMTS5', 'ADAMTS9-AS2', 'ANXA1', 'ARHGAP20', 'CACHD1', 'CAVIN2', 'IGSF10', 'JAM2', 'LDB2', 'LHFPL6', 'LIFR', 'MAGI2-AS3', 'MIR99AHG', 'PAMR1', 'PDE2A', 'PLPP3', 'RBMS3', 'SCN4B', 'SPRY2', 'STARD9', 'TMEM220', 'TSLP', 'VEGFD']
FeatureSelection_25;['ABAT', 'AC015908.3', 'AC092667.1', 'APH1B', 'C16orf71', 'EXO1', 'FAM171A1', 'FAM198B-AS1', 'FOXA1', 'FOXM1', 'GATA3', 'KPNA2', 'LDB2','MTFR2', 'NDC80', 'PRC1', 'PSAT1', 'ROPN1', 'SFT2D2', 'SPDEF', 'STAC','TPX2', 'TTK', 'ZMYND10', 'ZNF695']
RFE_25;['BCL11A', 'CAVIN2', 'CCNB2', 'CD300LG', 'CENPA', 'CEP55', 'FAM171A1','FOXA1', 'FOXC1', 'GATA3', 'LINC02188', 'MCM10', 'NCAPG', 'PSAT1','RGMA', 'SFRP1', 'SGO1', 'SKA1', 'TLE3', 'TPX2', 'TRIM29', 'TSLP','UBE2C', 'UBE2T', 'VEGFD']      
SelectKBest_30;['ABCA10', 'AC100771.2', 'ADAMTS5', 'ADAMTS9-AS2', 'ANXA1', 'ARHGAP20', 'CACHD1', 'CAVIN2', 'CORO2B', 'DST', 'GIPC2', 'IGSF10', 'JAM2', 'LDB2', 'LHFPL6', 'LIFR', 'MAGI2-AS3', 'MAMDC2', 'MIR99AHG', 'PAMR1', 'PDE2A', 'PLPP3', 'RBMS3', 'SCN4B', 'SPRY2', 'STARD9', 'TGFBR2', 'TMEM220', 'TSLP', 'VEGFD']
FeatureSelection_30;['AC009806.1', 'AR', 'AURKA', 'B3GNT5', 'BORCS7', 'C10orf90', 'CA12', 'CDC25A', 'CDCA2', 'CDK1', 'CENPA', 'CMBL', 'DEPDC1B', 'FBP1', 'FMO2', 'GATA3', 'KIF23', 'LINC01497', 'LINC02188', 'MMP11', 'MYLK', 'ROPN1', 'SFT2D2', 'SLC44A4', 'SOX9-AS1', 'TCF7L1', 'TFF3', 'TPX2', 'VEGFD', 'YBX1']
RFE_30;['ANXA1', 'CAVIN2', 'CD300LG', 'CENPA', 'CEP55', 'DEPDC1B', 'FAM171A1','FOXA1', 'FOXC1', 'FOXM1', 'GABRP', 'GATA3', 'HJURP', 'LINC02188','MCM10', 'NDC80', 'PSAT1', 'RGMA', 'SFRP1', 'SKA1', 'SPRY2', 'SRSF12','TCEAL5', 'TLE3', 'TPX2', 'TRIM29', 'TSLP', 'UBE2C', 'UBE2T', 'VEGFD']
SelectKBest_50;['ABCA10', 'AC009806.1', 'AC100771.2', 'ADAM33', 'ADAMTS5', 'ADAMTS9-AS2', 'ADCYAP1R1', 'ANXA1', 'ARHGAP20', 'CACHD1', 'CAV2', 'CAVIN2', 'CD300LG', 'CDC14B', 'CDC20', 'CNTNAP3P2', 'CORO2B', 'DST', 'EZH1', 'FAM126A', 'FAM13C', 'FAM171A1', 'GIPC2', 'IGSF10', 'JAM2', 'LDB2', 'LHFPL6', 'LIFR', 'LINC01537', 'LMOD1', 'MAGI2-AS3', 'MAMDC2', 'MIR99AHG', 'MME', 'PAMR1', 'PDE2A', 'PGM5P4', 'PLPP3', 'PLSCR4', 'PPP1R12B', 'RBMS3', 'SCN4B', 'SPRY2', 'STARD9', 'TCEAL7', 'TGFBR2', 'TMEM220', 'TSLP', 'TTC28', 'VEGFD']
FeatureSelection_50;['AC099850.3', 'AC136621.1', 'ALDH1A2', 'AURKB', 'BUB1', 'C2orf88', 'C9orf116', 'CA12', 'CCDC125', 'CCDC170', 'CCNB2', 'CDC45', 'CDCA8','CEP55', 'COL10A1', 'CXXC5', 'DLGAP5', 'ESR1','FAM171A1', 'FOXC1','FOXM1', 'GATA3', 'HJURP', 'HMMR', 'KIF23','KPNA2', 'LDHB','LINC00504', 'MCM10', 'MFGE8', 'MYB', 'NCAPH', 'NDC80', 'NEK2','NKX1-2', 'OR2S1P', 'PALMD','PCLAF', 'PDSS1', 'PGM5-AS1', 'SERPINB5','SLC6A2', 'SLC7A8', 'SPDEF', 'SPRY2', 'TACC3', 'TBC1D9', 'TMEM220', 'TPM3', 'TTC6']   
RFE_50;"['ANXA1', 'B3GNT5', 'BCL11A', 'CAVIN2', 'CCNB2', 'CD300LG', 'CDC20',       'CENPA', 'CEP55', 'CNTNAP3', 'DMD', 'EXO1', 'FAM171A1', 'FAM189A2',       'FAM83D', 'FOXA1', 'FOXC1', 'FOXM1', 'GATA3', 'KPNA2', 'LINC02188',       'MCM10', 'MME', 'MPP6', 'MRAS', 'NCAPG', 'NCAPH', 'NDC80', 'PALMD',       'PAMR1', 'PLK1', 'PSAT1', 'RGMA', 'SCN4B', 'SFRP1', 'SGO1', 'SKA1',       'SOX9-AS1', 'SPRY2', 'SRSF12', 'TCEAL5', 'TLE3', 'TMEM220', 'TPX2',       'TRIM29', 'TSLP', 'UBE2C', 'UBE2T', 'VEGFD', 'ZBTB4'],      "
